Headline,Text,Reaction,Time
SEOTitel,3. SEO-Titel: Wetter Aktuell: Nachtvorhersage mit südwestlichem Wind und regionalen Niederschlägen,Dislike,2024-04-12 12:34:04.166474

undefined,3. SEO-Titel: Wetter Aktuell: Nachtvorhersage mit südwestlichem Wind und regionalen Niederschlägen,Dislike,2024-04-12 12:42:25.750900
SEOTitel,3. SEO-Titel: Wetter Aktuell: Nachtvorhersage mit südwestlichem Wind und regionalen Niederschlägen,Dislike,2024-04-12 12:42:25.751050
undefined,"1.Teaser: Windiges Erwachen im Norden! Erfahren Sie, wie sich das Wetter heute entwickelt und ob Sie den Regenschirm parat halten sollten.",Dislike,2024-04-12 12:42:51.951674
Teaser,"1.Teaser: Windiges Erwachen im Norden! Erfahren Sie, wie sich das Wetter heute entwickelt und ob Sie den Regenschirm parat halten sollten.",Dislike,2024-04-12 12:42:51.951909
SEOText,"1. SEO-Text: ""Aktueller Wetterbericht: Windig im Norden, teils Regen. Auflockerungen an der Elbe. Temperaturen bis zu 19°C in Hamburg. Nacht wolkig mit Regen.""",Dislike,2024-04-12 12:45:25.685074
undefined,"1. SEO-Text: ""Aktueller Wetterbericht: Windig im Norden, teils Regen. Auflockerungen an der Elbe. Temperaturen bis zu 19°C in Hamburg. Nacht wolkig mit Regen.""",Dislike,2024-04-12 12:45:25.686522
SEOTitel,1. SEO-Titel: Aktueller Wetterbericht: Windige Bedingungen im Norden – Regen möglich,Like,2024-04-12 14:43:07.182064
Teaser,3. Teaser: Wochenendwetter im Blick: Der Samstag serviert uns ein wolkiges Menü mit vereinzelten Schauern und milden Temperaturen. Doch halten Sie Ihren Regenmantel bereit – der Sonntag kündigt sich mit frischem Wind und Regen an!,Like,2024-04-12 14:43:11.358601
Zusatz,"- Höchstwerte an der Nordseeküste, die nicht spezifiziert sind (es wird nur Helgoland und Hamburg erwähnt)

- Die genaue Beschreibung des Windes in der Nacht zum Sonntag, wie ""im Verlauf frischer""",Like,2024-04-12 14:43:14.170553
